cod_ibge;municipio;qtd_leitos;qtd_uti
241090;Riachuelo;8;0
241100;Rodolfo Fernandes;8;0
241105;Tibau;10;0
241110;Ruy Barbosa;6;0
241120;Santa Cruz;93;0
241140;Santana do Matos;15;0
241142;Santana do Seridó;8;0
241150;Santo Antônio;22;0
241170;São Bento do Trairi;8;0
241200;São Gonçalo do Amarante;30;0
241210;São João do Sabugi;6;0
241220;São José de Mipibu;0;0
241230;São José do Campestre;13;0
241240;São José do Seridó;9;0
241250;São Miguel;30;0
241255;São Miguel do Gostoso;4;0
241260;São Paulo do Potengi;17;0
241270;São Pedro;2;0
241280;São Rafael;11;0
241290;São Tomé;10;0
241300;São Vicente;11;0
