CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2330830;150060;10;38;25;0;1;19;10;0
2676044;150060;0;0;0;0;0;0;0;0
5597501;150060;35;17;7;6;0;9;4;20
2313049;150070;2;9;4;1;0;5;0;0
2328534;150080;36;58;0;4;0;6;0;6
2328798;150080;35;63;15;2;0;16;0;12
2615835;150080;2;14;54;0;0;18;6;0
3865886;150080;0;0;0;0;0;0;0;0
3987884;150080;129;10;0;6;0;26;0;27
6250564;150080;8;56;1;0;0;0;0;0
7283458;150080;22;36;27;0;0;29;0;30
7447930;150080;5;0;0;1;0;29;0;0
2330938;150085;7;9;10;1;0;9;0;0
2678578;150090;8;43;4;0;0;16;0;0
5572924;150095;14;14;15;0;0;15;0;0
7773250;150110;2;6;4;1;0;3;0;0
4005732;150120;6;11;8;1;0;5;0;0
2676001;150125;0;6;1;1;0;3;0;0
2311763;150130;10;1;21;0;0;16;0;0
2314037;150130;0;43;0;1;0;0;0;0
6289754;150130;0;0;0;0;0;0;0;0
9461493;150130;0;0;30;0;0;5;10;20
2332620;150140;12;3;30;0;0;3;0;0
2332639;150140;0;0;0;0;0;70;0;0
2332671;150140;80;49;39;0;0;6;6;27
2332809;150140;5;0;0;0;0;0;0;0
2332914;150140;0;1;0;1;0;63;0;0
2332922;150140;0;0;0;0;0;0;0;0
2332930;150140;2;2;22;0;0;6;0;0
2332981;150140;40;132;0;10;6;28;0;6
2333015;150140;0;0;0;0;0;0;0;0
2333031;150140;35;69;22;4;60;20;0;40
2333228;150140;27;13;24;2;0;11;0;0
2334321;150140;116;77;0;4;0;0;0;29
2337274;150140;0;0;0;0;0;0;0;0
2337339;150140;30;100;0;5;0;38;0;19
2340992;150140;33;58;35;0;0;4;0;19
2341107;150140;0;0;0;0;0;0;0;0
2694778;150140;20;40;0;1;0;10;0;8
2695251;150140;0;28;12;0;0;17;10;0
2752700;150140;22;48;162;4;0;39;83;102
3106225;150140;0;0;0;0;0;0;0;0
3240231;150140;0;0;0;0;0;0;0;0
